Description,Actual Text (There will be a charcter limit but IDK what it is yet),
Day 1,,
Opening Cutscene 1,Today is a beautiful day.,
Opening Cutscene 2,I wonder what adventure awaits?,
,,
Add a task bar of things to do?,,
,,
Gate Blocking Progression 1,This is a gate that leads to the outside. You decide you'd much rather be at home than out in the wilderness,
Gate Blocking Progression 2,"It is scientifically proven that you are less likely to get cancer by staying away from the wilderness. Keeping that in mind, you decide to stay home.",
Gate Blocking Progression 3,"The chances of getting hit by a meteor in the wilderness are low, but never zero. Keeping that in mind, you decide to stay home.",
Gate Blocking Progression 4,"There is a gate blocking the way. Confused on how you are meant to overcome this obstacle, you decide to stay home instead.",
Trees listen,"You can hear the sound of faint cluckings in the distance. Confused, you decide to ignore it instead.",
Watering plants question,Would you like to water the plants?,
Watering plants response,"Thanks to you, these plants manage to live yet another day",
Watering plants again?,You've already watered the plants. Are you sure you want to water them again?,
Watering plants again response,"You water the plants again, filling the pot with water.",
Watering plants again maxed,"The pot is filled to the brim with water. You consider adding more, but that would just start flooding the house. Reluctantly, you decide to stop drowning your plants.",
Reading a book initial,This is your favorite book. You have read this book 73 times in the past few weeks. Would you like to read it again?,
Reading a book response,"The story happens exactly as you remembered. You struggle to recall why you even bothered with reading this. Disappointed, you put down the book and try to find something more interesting to do.",
Reading a book count,This is your favorite book. You have read this book (73+n) times in the past few weeks. Would you like to read it again?,
Reading a book maxed,"You try to pick up your favorite book, but quite frankly, reading the same book 78 times for the past few weeks feels like a bit too much even by your standards. You put down the book and try to find something more interesting to do.",
Playing with ball of yarn,You push a ball of yarn on the floor. The ball unravels into a giant mess. You are content.,
Playing with ball of yarn cont,You push the ball of yarn on the floor again. The ball further unravels into a giant mess. You are content.,
Playing with ball of yarn maxed,"The ball of yarn is no longer a ball and can no longer unravel. Disappointed, you decide to do something else.",
Interacting with the pet rock ,"This is Gerald.  If he's a good boy this week, perhaps you'll buy him a nice set of googly eyes ",
Interacting with the pet rock 2,"You tell Gerald your favorite joke. Gerald doesn't respond. Angry, you decide to give him a time out and ignore him for the time being.",
Interacting with the glass of water,You look at the water on your nightstand.  It's gone stale,
Interacting with the glass of water again,You're not thirsty.  Especially for stale water.  You're better than this. ,
Cooking 1,"You try to cook some eggs, but accidently drop them on the floor instead. Disgruntled, you clean up the mess and throw it in the trash.",
Cooking 2,"You try to make more food, but drop the eggs again. You are starting to get annoyed at all the cleaning you have to do.",
Cooking 3,You drop the eggs again. You begin to wonder whether if there is something cosmically wrong with the universe as you scrub more yolk off the floor.,
Cooking Maxed,There are no more eggs left in the fridge. You are a disgrace.,
Going to bed,It has been an eventful day. You decide to call it a night and go to sleep.,
Fade to black,... ...,
,,
,,
Sir Cluckers?,,
Day 2,,
snore,... snore ... snore ... CRASH,"(wake up, house shaking)"
shaking stop,The house stops shaking. There are sounds of trees falling outside the door. You decide to leave the house to see what's happening.,
Cluck crashes in,,
